ID,Latitude,Longitude,Accuracy,Time,Data1,Data2 ,Amp,Shift,Voltage,Temp,Humidity,Hs,Hp,Adj
12206.0,-34.02589373069918,150.66225665350794,3.2160000801086404,113549,43459.0,7.79,43272.9850000002,7.79,11.818089500000005,28.161570304999906,41.98368,33722.396787733574,27117.106637935838,0.02376240128479345
12207.0,-34.02588606513882,150.66225872712852,3.2160000801086404,113550,43373.0,7.79,43291.24300000018,7.79,11.818434000000005,28.16205496999991,42.02487,33746.31812505978,27116.507239934628,0.024730758831813304
12209.0,-34.025878381169264,150.66226080572898,3.2160000801086404,113551,43193.0,7.8,43359.02650000021,7.8,11.817055000000005,28.16300560999991,42.06607,33819.37749064014,27133.823055871548,0.026168596072998263
12211.0,-34.0258720493207,150.66226251856548,3.2160000801086404,113552,43756.0,7.81,43307.26150000018,7.81,11.819985000000004,28.163969599999906,42.03861,33795.574948086534,27080.811099582403,0.02760561035193554
12213.0,-34.02586534503473,150.66226433215047,3.2160000801086404,113553,43828.0,7.83,43313.86600000018,7.83,11.819640000000005,28.164941599999903,42.02182,33817.11152125503,27064.546201310663,0.02654200085352354
12214.0,-34.02585993594721,150.66226579536968,3.2160000801086404,113554,43364.0,7.81,43279.00750000019,7.81,11.820157000000005,28.165398224999905,41.95316,33796.52876953127,27034.50398658991,0.026512141948213497
12217.0,-34.02585481809854,150.6622671798055,3.2160000801086404,113555,43899.0,7.81,43226.29900000019,7.81,11.826190000000004,28.16686289999991,41.82498,33762.377980700476,26992.846913925034,0.027416316219474268
12218.0,-34.02585002646754,150.66226847599575,3.2160000801086404,113556,43377.0,7.81,43255.675000000185,7.81,11.830671500000005,28.167334214999908,41.78378,33784.33316579505,27012.42443259984,0.02838549672874091
12220.0,-34.025844559138704,150.66226995496987,3.2160000801086404,113557,42392.0,7.800000999999999,43340.7325000002,7.800000999999999,11.831705500000005,28.168283514999903,41.6144,33846.63384997412,27070.695446614678,0.027323421593103525
12221.0,-34.02583710438307,150.6622719715654,3.2160000801086404,113558,43259.0,7.789989999999999,43331.18900000019,7.789999000000001,11.832740000000005,28.168746814999906,41.55489,33836.515762500545,27068.061554767628,0.028293076206670875
12224.0,-34.02582943301684,150.66227404675652,3.2160000801086404,113559,42520.0,7.79,43354.36000000018,7.79,11.827568500000005,28.17013938999991,41.54421,33852.17530144799,27085.580369109462,0.025202015127966604
